episode,reward,win,loss,steps,right_score,left_score,score_diff,rally_hits,successful_agent_returns,last_target_alignment_error,last_target_alignment_reward,cumulative_target_alignment_reward,truncated
1,1.1157142704589798,1,0,2,1,0,1,2,1,24.891817367059275,0.04893578983497128,0.09571427045897962,False
2,1.4657680562435806,1,0,7,1,0,1,7,6,28.83203616186313,0.04857742406008818,0.34576805624358065,False
3,1.1756342187663504,1,0,3,1,0,1,3,2,82.78437712929727,0.039411704016978175,0.13563421876635057,False
4,1.0499857531558132,1,0,1,1,0,1,1,0,2.8648475693602506,0.0499857531558133,0.0499857531558133,False
5,1.3828369463679406,1,0,6,1,0,1,6,5,82.78437712929727,0.039411704016978175,0.2828369463679407,False
6,1.1184052233166337,1,0,2,1,0,1,2,1,10.671032740427194,0.04980269770535023,0.09840522331663357,False
7,1.3964986248922633,1,0,6,1,0,1,6,5,5.461873604054404,0.0499482350381172,0.29649862489226314,False
8,1.1156909981633438,1,0,2,1,0,1,2,1,39.398994168147624,0.047376407303295,0.09569099816334378,False
9,1.3244093358509765,1,0,5,1,0,1,5,4,48.914078377299006,0.04601406293396549,0.24440933585097635,False
10,1.1860177722133498,1,0,3,1,0,1,3,2,33.535448695183646,0.04808515398245352,0.14601777221334977,False
11,1.2585678239510922,1,0,4,1,0,1,4,3,0.09903021490080732,0.04999998297398994,0.19856782395109238,False
12,1.1167626637741719,1,0,2,1,0,1,2,1,24.520483630337907,0.048966976716637,0.09676266377417193,False
13,1.0499676399670965,1,0,1,1,0,1,1,0,4.3180334951574935,0.04996763996709655,0.04996763996709655,False
14,1.116762920901465,1,0,2,1,0,1,2,1,23.16940609811644,0.04907665061888216,0.0967629209014648,False
15,1.3227405431426205,1,0,5,1,0,1,5,4,42.02958991094593,0.04702534309248395,0.2427405431426206,False
16,1.184913233694595,1,0,3,1,0,1,3,2,17.63198675918943,0.04946316837678636,0.1449132336945949,False
17,1.118261845122169,1,0,2,1,0,1,2,1,2.6427792537610912,0.04998787598025324,0.09826184512216912,False
18,1.117776684058305,1,0,2,1,0,1,2,1,7.269653143746467,0.04990833437726081,0.09777668405830496,False
19,-0.8851042390861635,0,1,2,0,1,-1,2,1,54.63685634738377,0.04507693566071177,0.09489576091383647,False
20,1.1184927172876706,1,0,2,1,0,1,2,1,18.249757388401804,0.04942511237809809,0.09849271728767067,False
21,-0.9537661959165635,0,1,1,0,1,-1,1,0,47.49083492203283,0.04623380408343642,0.04623380408343642,False
22,-0.9539349650398637,0,1,1,0,1,-1,1,0,48.587051293373975,0.0460650349601363,0.0460650349601363,False
23,1.18756621649821,1,0,3,1,0,1,3,2,3.1214646222590545,0.04998308699067877,0.14756621649820997,False
24,1.3276076115670077,1,0,5,1,0,1,5,4,20.24528813462129,0.04929345676732785,0.24760761156700775,False
25,1.1170681532439681,1,0,2,1,0,1,2,1,22.4485251127752,0.04913272048972292,0.09706815324396814,False
26,1.2567863852111354,1,0,4,1,0,1,4,3,25.334793838147334,0.04889799948565534,0.19678638521113542,False
27,-0.8861107145027562,0,1,2,0,1,-1,2,1,58.87012698467643,0.044331100907565396,0.09388928549724371,False
28,1.3957695229701996,1,0,6,1,0,1,6,5,33.142223565183826,0.04812895033293473,0.2957695229701997,False
29,1.2565335466223424,1,0,4,1,0,1,4,3,4.179057481022568,0.04996968884167374,0.19653354662234235,False
30,1.3269593328577054,1,0,5,1,0,1,5,4,7.989162588936864,0.04988931242269357,0.24695933285770527,False
31,1.1161230681689278,1,0,2,1,0,1,2,1,24.341897324954857,0.04898181553697392,0.09612306816892774,False
32,1.0480815908953756,1,0,1,1,0,1,1,0,33.56725286023254,0.04808159089537562,0.04808159089537562,False
33,-0.9596427263117642,0,1,1,0,1,-1,1,0,78.55214336738977,0.040357273688235884,0.040357273688235884,False
34,1.1880751135873293,1,0,3,1,0,1,3,2,15.628777237970553,0.049577732992719115,0.1480751135873292,False
35,-0.953542937644033,0,1,1,0,1,-1,1,0,46.006976394385674,0.04645706235596703,0.04645706235596703,False
36,1.116154922771254,1,0,2,1,0,1,2,1,31.34370071588745,0.04832315942145331,0.09615492277125401,False
37,1.6051698155369536,1,0,9,1,0,1,9,8,15.81525418707787,0.04956764015376389,0.44516981553695345,False
38,1.1187955340320843,1,0,2,1,0,1,2,1,4.432928623286898,0.04996589556665994,0.09879553403208427,False
39,1.1162881969840974,1,0,2,1,0,1,2,1,23.698444731002155,0.04903441703681607,0.09628819698409749,False
40,1.1177163864003896,1,0,2,1,0,1,2,1,6.698953703042122,0.04992215097893905,0.09771638640038942,False
41,1.1852378064676001,1,0,3,1,0,1,3,2,25.677884595006844,0.04886829282786287,0.14523780646759998,False
42,1.1083046619243024,1,0,2,1,0,1,2,1,82.39293315548312,0.03950028496533328,0.08830466192430259,False
43,1.1884763225032833,1,0,3,1,0,1,3,2,15.155464006083434,0.0496028218649843,0.14847632250328333,False
44,1.1755699818368341,1,0,3,1,0,1,3,2,82.78437712929727,0.039411704016978175,0.13556998183683422,False
45,1.1867737442800557,1,0,3,1,0,1,3,2,9.967975041267096,0.04982779630981632,0.14677374428005552,False
46,1.253811772404916,1,0,4,1,0,1,4,3,6.632012974650593,0.049923697869561155,0.19381177240491596,False
47,1.1869096028822537,1,0,3,1,0,1,3,2,18.093109629160068,0.04943488343347823,0.1469096028822537,False
48,1.3249773331972756,1,0,5,1,0,1,5,4,15.144797762734584,0.049603378504714864,0.24497733319727538,False
49,1.1842252304013738,1,0,3,1,0,1,3,2,43.864954317775414,0.046768635168975205,0.14422523040137386,False
50,-0.7452473688725008,0,1,4,0,1,-1,4,3,52.29112087095419,0.04547123389679775,0.19475263112749924,False
